,index,balance,net_worth,open_amount,price_x,step,symbol,type,amount,price_y
35,35,5.65689142942615,31468.452939621253,2.5195108700000004,3858.0526402342566,35,ETH/BTC,TradeType.LIMIT_BUY,0.00141655,3858.0526402342566
36,36,5.65689142942615,31452.1001350224,2.5195108700000004,3846.0,,,,,
37,37,5.65689142942615,31452.1001350224,2.5195108700000004,3846.0,,,,,
38,38,4828.54494260857,18580257.41359895,1.2597554300000005,3828.432009929756,38,ETH/BTC,TradeType.MARKET_SELL,1.25975544,3828.432009929756
39,39,4828.54494260857,18580257.41359895,1.2597554300000005,3846.0,,,,,
40,40,6038.358558645698,23233199.139638223,0.9448165700000004,3841.423748206648,40,ETH/BTC,TradeType.MARKET_SELL,0.31493886,3841.423748206648
41,41,9661.219903647898,37166712.96933346,4.440892098500626e-16,3834.46,41,ETH/BTC,TradeType.LIMIT_SELL,0.94481657,3834.46
42,42,7270.329330744273,27985865.07118623,0.6152487400000004,3886.055212244117,42,ETH/BTC,TradeType.MARKET_BUY,0.61524874,3886.055212244117
43,43,1907.8590762851745,7347244.884939065,2.004945,3858.7354724974925,43,ETH/BTC,TradeType.MARKET_BUY,1.38969626,3858.7354724974925
44,44,9563.719273614131,36772500.607046336,0.0,3818.488884896571,44,ETH/BTC,TradeType.MARKET_SELL,2.004945,3818.488884896571
45,45,9563.719273614131,36772500.607046336,0.0,3844.0,,,,,
46,46,7207.541556407958,27729755.952177353,0.60935639,3866.6661347494432,46,ETH/BTC,TradeType.MARKET_BUY,0.60935639,3866.6661347494432
47,47,5435.948320785051,20916202.97923887,1.06858793,3857.734239296601,47,ETH/BTC,TradeType.MARKET_BUY,0.45923154,3857.734239296601
48,48,1431.8099826024422,5513413.26442851,2.1081897300000003,3851.6077388309723,48,ETH/BTC,TradeType.MARKET_BUY,1.0396018,3851.6077388309723
49,49,375.0989201306054,1451411.8222111778,2.3820172500000005,3859.038939810859,49,ETH/BTC,TradeType.MARKET_BUY,0.27382752,3859.038939810859
50,50,2656.1411563535266,10219730.101920668,1.7865129400000006,3830.437828775616,50,ETH/BTC,TradeType.MARKET_SELL,0.59550431,3830.437828775616
51,51,6077.631969220614,23384085.649975326,0.8932564700000006,3830.3565972123192,51,ETH/BTC,TradeType.MARKET_SELL,0.89325647,3830.3565972123192
52,52,9504.574686116814,36583107.96686362,6.661338147750939e-16,3836.46,52,ETH/BTC,TradeType.LIMIT_SELL,0.89325647,3836.46
53,53,9504.574686116814,36583107.96686362,6.661338147750939e-16,3848.0,,,,,
54,54,101.95552688772477,401539.2772290972,2.422351870000001,3881.6074888530084,54,ETH/BTC,TradeType.MARKET_BUY,2.42235187,3881.6074888530084
55,55,101.95552688772477,401539.2772290972,2.422351870000001,3846.0,,,,,
56,56,101.95552688772477,401539.2772290972,2.422351870000001,3846.0,,,,,
57,57,4751.289573940947,18263859.170578122,1.211175930000001,3838.694192565634,57,ETH/BTC,TradeType.MARKET_SELL,1.21117594,3838.694192565634
58,58,4751.289573940947,18263859.170578122,1.211175930000001,3842.0,,,,,
59,59,8230.819381957446,31632202.219333623,0.3027939800000009,3830.47,59,ETH/BTC,TradeType.LIMIT_SELL,0.90838195,3830.47
60,60,9101.156034517746,34994235.93771629,0.0756984900000009,3832.47,60,ETH/BTC,TradeType.LIMIT_SELL,0.22709549,3832.47
61,61,9101.156034517746,35012438.40118231,0.0756984900000009,3846.0,,,,,
62,62,4629.200202433443,17804026.230898432,1.2360698600000009,3853.9005250399296,62,ETH/BTC,TradeType.MARKET_BUY,1.16037137,3853.9005250399296
63,63,4629.200202433443,17804026.230898432,1.2360698600000009,3844.0,,,,,
64,64,9377.917664378896,36058093.41953686,8.881784197001252e-16,3841.7872772542596,64,ETH/BTC,TradeType.LIMIT_SELL,1.23606986,3841.7872772542596
65,65,9377.917664378896,36076849.25486562,8.881784197001252e-16,3823.453022920984,,,,,
66,66,4768.018801542096,18347164.437680766,1.195035920000001,3857.54,66,ETH/BTC,TradeType.LIMIT_BUY,1.19503592,3857.54
67,67,4768.018801542096,18356702.865355693,1.195035920000001,3848.0,,,,,
68,68,1252.301264749096,4830718.260771769,2.1054779800000007,3861.55,68,ETH/BTC,TradeType.LIMIT_BUY,0.91044206,3861.55
69,69,5265.595008797709,20260792.83300033,1.0527389900000008,3812.240053964956,69,ETH/BTC,TradeType.MARKET_SELL,1.05273899,3812.240053964956
70,70,5265.595008797709,20250259.53750475,1.0527389900000008,3844.0,,,,,
71,71,5265.595008797709,20260792.83300033,1.0527389900000008,3846.0,,,,,
