,close,open_c,close_c,high_c,low_c
2017/10/13,3390.52,1.5165261749304757,1.5310847259687272,1.4908984383439248,1.5824817170757726
2017/10/16,3378.47,1.548867825390321,1.4864167144660387,1.5086272524361024,1.5511176490557685
2017/10/17,3372.04,1.474763906102742,1.4625814187015345,1.441213064396521,1.517013390913591
2017/10/18,3381.79,1.475876577563517,1.4987235856850372,1.444267187832569,1.5405642141257792
2017/10/19,3370.17,1.4799934619683814,1.4556495364185453,1.4275439997498214,1.4950548403399637
2017/10/20,3378.65,1.4387133507736503,1.487083954471889,1.4313802767487596,1.4967952313635053
2017/10/23,3380.7,1.5083294951694388,1.494683076760727,1.4519397418304436,1.550858441882049
2017/10/24,3388.25,1.487262915512108,1.5226700881171835,1.464603180467713,1.5487107252998058
2017/10/25,3396.9,1.5178984697320987,1.554734677287163,1.5003960173218773,1.5780011359300592
2017/10/26,3407.57,1.5648532053767803,1.59428718207834,1.5597651972860143,1.6128830155933924
2017/10/27,3416.81,1.5907413613641328,1.6285388357119355,1.585315547007093,1.6523565651911798
2017/10/30,3390.34,1.625493799988988,1.5304174859628785,1.580212926144429,1.4863528852222532
2017/10/31,3393.34,1.5035820969368003,1.541538152727033,1.4959265683910754,1.5561166445489214
2017/11/1,3395.91,1.5516865930909487,1.5510648572549912,1.5452767336686686,1.602329580663403
2017/11/2,3383.31,1.5430819337942938,1.5043580568455421,1.4756278211636888,1.5416380724169008
2017/11/3,3371.74,1.4914910670630503,1.4614693520251185,1.4343599093692943,1.4496195257466395
2017/11/6,3388.17,1.4615972938169102,1.522373537003473,1.4671731136029238,1.483575665503835
2017/11/7,3413.57,1.5349965211793317,1.6165285156066493,1.5631545293918727,1.59992265690744
2017/11/8,3415.46,1.6079877690061373,1.6235345356680662,1.6351871479932791,1.6626137633512048
2017/11/9,3427.79,1.6136253044073945,1.6692404760687416,1.6138827747564624,1.6764628323470503
2017/11/10,3432.67,1.6600237043216886,1.6873300940051001,1.6512026733286496,1.6976067318032755
2017/11/13,3447.84,1.7045305627526668,1.743563598942509,1.6898261611723202,1.7744431440128503
2017/11/14,3429.55,1.74670081111602,1.6757646005703797,1.6947798004039576,1.717454595390906
