,trades,active_holds,passive_holds
340,9164,0,906
341,6579,0,3311
342,9397,0,598
343,9413,0,695
344,9418,0,626
345,9197,0,812
346,9403,0,621
347,9477,0,564
348,9454,0,626
349,9325,0,709
350,9382,0,736
351,9356,0,680
352,8009,0,2116
353,9489,0,697
354,9386,0,662
355,9333,0,628
356,9434,0,632
357,9414,0,682
358,9435,0,692
359,9340,0,707
360,9333,0,757
361,9484,0,563
362,9546,0,636
363,7707,0,2861
364,9389,0,875
365,9524,0,738
366,9470,0,830
367,9307,0,874
368,9422,0,844
369,9419,0,775
370,9383,0,853
371,9447,0,792
372,9507,0,729
373,9416,0,873
374,8593,0,2678
375,9466,0,898
376,9514,0,957
377,9530,0,888
378,9507,0,794
379,9409,0,954
380,9624,0,850
381,9484,0,893
382,9563,0,875
383,9420,0,987
384,9556,0,817
385,9418,0,2512
386,9595,0,1009
387,9553,0,1070
388,9452,0,1129
389,9603,0,1094
390,9562,0,1062
391,9586,0,1072
392,9571,0,1077
393,9573,0,997
394,9438,0,1131
395,9594,0,1054
396,8843,0,2390
397,9472,0,1072
398,9463,0,1062
399,9518,0,1040
400,9606,0,1043
401,9582,0,1001
402,9547,0,1033
403,9486,0,1084
404,9542,0,1084
405,9430,0,1086
406,9586,0,1036
407,8804,0,2719
408,9529,0,1109
409,9367,0,1236
410,9588,0,1083
411,9630,0,1160
412,9507,0,1117
413,9474,0,1220
414,9561,0,1122
415,9462,0,1200
416,9528,0,1104
417,9569,0,1172
418,8437,0,3084
419,9445,0,1285
420,9432,0,1276
421,9464,0,1069
422,9615,0,1059
423,9524,0,1139
424,9541,0,1118
425,9423,0,1159
426,9440,0,1183
427,9580,0,1109
428,9219,0,1354
429,7989,0,2766
430,9527,0,1070
431,9388,0,1119
432,9398,0,1107
433,9408,0,1132
434,9544,0,1051
435,9642,0,943
436,9592,0,1058
437,9517,0,1091
438,9538,0,1018
439,9554,0,1038
440,8504,0,2892
441,9643,0,1074
442,9483,0,1083
443,9644,0,1066
444,9439,0,1175
445,9572,0,1077
446,9518,0,1082
447,9481,0,1194
448,9544,0,1112
449,9474,0,1116
450,9476,0,1140
451,9583,0,2863
452,9679,0,1263
453,9462,0,1330
454,9378,0,1433
455,9585,0,1325
456,9720,0,1230
457,9497,0,1286
458,9536,0,1353
459,9577,0,1321
460,9660,0,1149
461,9579,0,1229
462,9282,0,2722
463,9526,0,1456
464,9429,0,1519
465,9656,0,1354
466,9456,0,1506
467,9594,0,1387
468,9505,0,1439
469,9478,0,1516
470,9481,0,1491
471,9298,0,1545
472,9562,0,1373
473,9528,0,2520
474,9574,0,1485
475,9634,0,1359
476,9652,0,1352
477,9665,0,1421
478,9550,0,1455
479,9653,0,1407
480,9579,0,1552
481,9526,0,1598
482,9537,0,1515
483,9625,0,1409
484,9598,0,2482
485,9525,0,1505
486,9606,0,1519
487,9693,0,1454
488,9587,0,1486
489,9726,0,1309
490,9582,0,1443
491,9463,0,1588
492,9545,0,1547
493,9520,0,1577
494,9622,0,1509
495,9416,0,2471
496,9553,0,1448
497,9634,0,1436
498,9578,0,1424
499,9629,0,1391
500,9563,0,1434
501,9588,0,1426
502,9645,0,1407
503,9512,0,1485
504,9598,0,1449
505,9601,0,1371
506,9230,0,2261
507,9504,0,1382
508,9461,0,1414
509,9540,0,1346
510,9563,0,1318
511,9627,0,1289
512,9491,0,1417
513,9600,0,1325
514,9447,0,1448
515,9566,0,1318
516,9498,0,1377
517,9524,0,2307
518,9535,0,1634
519,9583,0,1484
520,9670,0,1411
521,9719,0,1366
522,9682,0,1387
523,9673,0,1431
524,9615,0,1423
525,9689,0,1404
526,9492,0,1539
527,9511,0,1504
528,9391,0,2312
529,9711,0,1495
530,9691,0,1443
531,9560,0,1630
532,9751,0,1550
533,9682,0,1516
534,9625,0,1504
535,9592,0,1579
536,9748,0,1467
537,9519,0,1625
538,9709,0,1484
539,9144,0,2253
540,9598,0,1565
541,9503,0,1496
542,9647,0,1417
543,9489,0,1584
544,9562,0,1516
545,9572,0,1575
546,9478,0,1568
547,9539,0,1469
548,9538,0,1535
549,9537,0,1463
550,9165,0,2420
551,9604,0,1585
552,9526,0,1637
553,9512,0,1654
554,9624,0,1576
555,9538,0,1571
556,9447,0,1746
557,9651,0,1509
558,9677,0,1435
559,9654,0,1538
560,9636,0,1571
561,9036,0,2591
562,9569,0,1715
563,9553,0,1652
564,9512,0,1731
565,9554,0,1633
566,9581,0,1642
567,9566,0,1532
568,9548,0,1699
569,9476,0,1703
570,9473,0,1744
571,9653,0,1642
572,8788,0,2824
573,9561,0,1690
574,9592,0,1763
575,9431,0,1833
576,9372,0,1892
577,9304,0,1957
578,9434,0,1797
579,9406,0,1868
580,9508,0,1846
581,9456,0,1874
582,9374,0,1888
583,8858,0,2877
584,9433,0,1965
585,9553,0,1871
586,9482,0,1939
587,9608,0,1839
588,9482,0,1907
589,9497,0,1904
590,9473,0,1939
591,9534,0,1870
592,9447,0,1892
593,9573,0,1869
594,8712,0,2879
595,9460,0,1954
596,9463,0,1909
597,9367,0,2024
598,9389,0,1970
599,9496,0,1988
600,9394,0,2031
601,9475,0,1973
602,9374,0,2011
603,9420,0,1970
604,9421,0,2020
605,8614,0,2833
606,9291,0,2025
607,9156,0,2098
608,9375,0,1989
609,9219,0,2089
610,9326,0,2003
611,9301,0,1958
612,9416,0,1967
613,9209,0,2111
614,9336,0,1983
615,9399,0,1992
616,8658,0,2846
617,9337,0,2083
618,9431,0,2038
619,9577,0,1943
620,9269,0,2116
621,9312,0,2089
622,9337,0,2142
623,9250,0,2157
624,9257,0,2166
625,9231,0,2188
626,9366,0,2035
627,8897,0,2688
628,9536,0,1970
629,9493,0,2013
630,9383,0,2086
631,9475,0,1948
632,9598,0,1881
633,9410,0,2087
634,9399,0,2027
635,9477,0,1994
636,9411,0,2041
637,9537,0,2026
638,9054,0,2606
639,9546,0,1919
640,9484,0,2086
641,9486,0,2084
642,9545,0,1970
643,9542,0,1985
644,9459,0,2057
645,9510,0,2079
646,9449,0,2052
647,9588,0,1978
648,9527,0,1962
649,9511,0,2551
650,9683,0,2026
651,9622,0,2056
652,9614,0,2071
653,9678,0,2017
654,9643,0,2033
655,9669,0,2031
656,9599,0,2171
657,9631,0,2060
658,9690,0,2019
659,9697,0,2023
660,9541,0,2684
661,9592,0,2210
662,9607,0,2161
663,9695,0,2138
664,9727,0,2142
665,9617,0,2199
666,9685,0,2142
667,9680,0,2177
668,9626,0,2215
669,9710,0,2120
670,9636,0,2183
671,9373,0,2695
672,9430,0,2226
673,9591,0,2127
674,9647,0,2105
675,9425,0,2232
