,balance,net_worth
0,10000.0,10017.019521638154
1,10000.0,10017.019521638154
2,10000.0,10017.019521638154
3,9995.76965249695,10016.994305891463
4,9987.307178208275,10016.938528161956
5,9987.307178208275,10016.938528161956
6,9979.709509579754,10013.981708001556
7,9988.213182981384,10010.536763168884
8,9986.635075299211,10008.840140014543
9,9983.631328361853,10007.55261441467
10,9986.477873948468,10006.527399413462
11,9990.49989298522,10005.453970463146
12,9990.49989298522,10004.550195426846
13,9988.027244261712,10003.930040997875
14,9988.027244261712,10003.025032175372
15,9984.319189147282,10001.912631578787
16,9988.6123921577,10001.64142959765
17,9988.6123921577,10001.294745797351
18,9990.619567596199,10000.81839298794
19,9990.619567596199,10000.608528179639
20,9985.67421091024,9999.148720938938
21,9982.865327164178,9998.752714600636
22,9982.865327164178,9998.17233131561
23,9980.273088906784,9997.542435663414
24,9988.018336125819,9997.576917938655
25,9984.67421380141,9997.197027077806
26,9984.67421380141,9996.721126844543
27,9981.478832050443,9996.652176233625
28,9979.109394666822,9996.386768767174
29,9989.677727460097,9995.817402947345
30,9988.184568747543,9995.671339273742
31,9988.53172686187,9995.215701741927
32,9988.53172686187,9995.059528066176
33,9988.99531034391,9995.194756313724
34,9989.180834117009,9995.077885830402
35,9989.180834117009,9995.052181298564
36,9989.441599825659,9995.186939035138
37,9988.20540642768,9994.558926108517
38,9986.96936600863,9993.695229461357
39,9986.96936600863,9993.642693871918
40,9984.409283374467,9993.737412697752
41,9990.557843958828,9996.535024065315
42,9992.607364153608,9997.400817211967
43,9987.661023508348,9994.54545133917
44,9988.254781351883,9994.838204219106
45,9988.254781351883,9994.430140928915
46,9983.310595235112,9991.909977720448
47,9984.246356069054,9991.43508287351
48,9985.868970119183,9992.286830691597
49,9984.199565855428,9992.538576048497
50,9990.630887859597,9995.925279110057
51,9990.630887859597,9996.046338834814
52,9990.8520771455,9995.671252325485
53,9991.009017024377,9995.423929875098
54,9991.310485243326,9995.46228627814
55,9988.837635898226,9993.99922161738
56,9987.928581034605,9993.740703877525
57,9988.945126425268,9993.443494052552
58,9985.236730547078,9990.955931669243
59,9984.401820423569,9990.834208463026
60,9987.547863996468,9991.002100536429
61,9987.547863996468,9991.157353877486
62,9987.121502029555,9990.956369129477
63,9987.121502029555,9991.047651108709
64,9987.229623777854,9991.050028691012
65,9987.924850742455,9991.246081794083
66,9986.203783616656,9991.446793945763
67,9986.203783616656,9991.389338627656
68,9987.059603072357,9991.238951465248
69,9984.587805820598,9989.633190732433
70,9983.370503995606,9989.490437232604
71,9982.9609211421,9989.54831556224
72,9985.99126957635,9989.034566248076
73,9981.04820389791,9985.31139376859
74,9981.801499256404,9985.612104002783
75,9982.344908362187,9985.453982122473
76,9981.276004800307,9985.389598494477
77,9982.319960948302,9985.890360614698
78,9982.663281375482,9985.840542316788
79,9982.663281375482,9985.766634041396
80,9978.957217632273,9983.17403060321
81,9978.957217632273,9983.036090770393
82,9976.487425720912,9981.090431047207
83,9982.663281375482,9985.67534603554
84,9982.663281375482,9985.553565309912
85,9982.663281375482,9985.426338491485
86,9982.663281375482,9985.357429305463
87,9981.31724601206,9985.381580225896
88,9979.973591840528,9985.350695622023
89,9975.033504912568,9981.296184453455
90,9978.739069234827,9984.051869209557
91,9979.422792417321,9983.96943431314
92,9979.422792417321,9984.048453192563
93,9978.1294670398,9984.17957699374
94,9978.1294670398,9983.853769841195
95,9976.89921259731,9983.903777214015
96,9976.89921259731,9983.419081471904
97,9995.11572069081,9997.506994499887
