,index,balance,net_worth,open_amount,price
0,0,10866.14008,9999.74008,-0.1,8664.0
1,1,11729.880879999999,10001.880879999999,-0.2,8640.0
2,2,12600.81952,9987.219519999999,-0.30000000000000004,8712.0
3,3,13468.55912,9996.55912,-0.4,8680.0
4,4,14334.6992,10002.6992,-0.5,8664.0
5,5,15198.439999999999,10014.439999999999,-0.6,8640.0
6,6,16063.780319999998,10004.580319999997,-0.7,8656.0
7,7,16930.720159999997,9993.120159999999,-0.7999999999999999,8672.0
8,8,17798.459759999998,9986.459759999998,-0.8999999999999999,8680.0
9,9,18663.800079999997,10007.800079999999,-0.9999999999999999,8656.0
10,10,18663.800079999997,9999.800079999999,-0.9999999999999999,8664.0
11,11,17794.739439999998,9975.539439999999,-0.8999999999999999,8688.0
12,12,16917.676399999997,9903.276399999997,-0.7999999999999999,8768.0
13,13,16039.012879999997,9890.212879999997,-0.7,8784.0
14,14,15161.149599999997,9895.549599999998,-0.6,8776.0
15,15,14282.486079999997,9890.486079999997,-0.5,8784.0
16,16,13399.821359999996,9870.221359999996,-0.4,8824.0
17,17,12515.556159999996,9863.556159999996,-0.30000000000000004,8840.0
18,18,11625.689279999997,9846.489279999996,-0.20000000000000004,8896.0
19,19,10727.019759999997,9828.619759999998,-0.10000000000000003,8984.0
20,20,9829.150479999997,9829.150479999997,-2.7755575615628914e-17,8976.0
21,21,8931.281199999996,9828.881199999996,0.09999999999999998,8976.0
22,22,8034.2121599999955,9827.812159999996,0.19999999999999998,8968.0
23,23,7138.743599999995,9824.343599999995,0.3,8952.0
24,24,6244.875519999995,9819.275519999996,0.4,8936.0
25,25,5351.807679999995,9815.807679999994,0.5,8928.0
26,26,4458.739839999996,9815.539839999996,0.6,8928.0
27,27,3561.6707999999953,9839.270799999995,0.7,8968.0
28,28,4445.4055999999955,9749.405599999995,0.6,8840.0
29,29,5329.140399999996,9749.140399999997,0.5,8840.0
30,30,6213.674959999996,9752.874959999996,0.4,8848.0
31,31,7092.611199999996,9730.211199999996,0.30000000000000004,8792.0
32,32,7973.946719999995,9737.146719999995,0.20000000000000004,8816.0
33,33,8844.085599999995,9714.485599999995,0.10000000000000003,8704.0
34,34,9720.622559999994,9720.622559999994,2.7755575615628914e-17,8768.0
35,35,10605.157119999994,9720.357119999995,-0.09999999999999998,8848.0
36,36,11483.293599999994,9726.493599999994,-0.19999999999999998,8784.0
37,37,12362.229839999993,9724.629839999992,-0.3,8792.0
38,38,11476.364159999992,9705.164159999993,-0.19999999999999998,8856.0
39,39,10592.098959999992,9708.098959999992,-0.09999999999999998,8840.0
40,40,9709.434239999991,9709.434239999991,2.7755575615628914e-17,8824.0
41,41,8827.569759999991,9709.169759999992,0.10000000000000003,8816.0
42,42,7938.503119999991,9716.103119999992,0.20000000000000004,8888.0
43,43,7050.236719999991,9714.236719999992,0.30000000000000004,8880.0
44,44,6161.170079999991,9716.370079999992,0.4,8888.0
45,45,5272.90367999999,9712.90367999999,0.5,8880.0
46,46,4387.83823999999,9696.63823999999,0.6,8848.0
47,47,3502.7727999999897,9696.37279999999,0.7,8848.0
48,48,2617.7073599999894,9696.107359999989,0.7999999999999999,8848.0
49,49,1729.4409599999894,9721.440959999989,0.8999999999999999,8880.0
50,50,841.9747999999894,9713.974799999987,0.9999999999999999,8872.0
51,51,841.9747999999894,9769.974799999987,0.9999999999999999,8928.0
52,52,841.9747999999894,9761.974799999987,0.9999999999999999,8920.0
53,53,841.9747999999894,9785.974799999987,0.9999999999999999,8944.0
54,54,841.9747999999894,9753.974799999987,0.9999999999999999,8912.0
55,55,841.9747999999894,9753.974799999987,0.9999999999999999,8912.0
56,56,841.9747999999894,9753.974799999987,0.9999999999999999,8912.0
57,57,841.9747999999894,9737.974799999987,0.9999999999999999,8896.0
58,58,1732.1076799999894,9745.707679999989,0.8999999999999999,8904.0
59,59,2623.040319999989,9752.640319999988,0.7999999999999999,8912.0
60,60,3511.573679999989,9733.173679999989,0.7,8888.0
61,61,4392.909199999989,9682.50919999999,0.6,8816.0
62,62,5275.04447999999,9687.04447999999,0.5,8824.0
63,63,6154.780479999989,9674.78047999999,0.4,8800.0
64,64,7035.316239999989,9677.71623999999,0.30000000000000004,8808.0
65,65,7913.452719999989,9670.25271999999,0.20000000000000004,8784.0
66,66,8791.58919999999,9669.989199999989,0.10000000000000003,8784.0
67,67,9668.126159999989,9668.126159999989,2.7755575615628914e-17,8768.0
68,68,10541.464079999989,9667.864079999988,-0.09999999999999998,8736.0
69,69,11414.801999999989,9667.601999999988,-0.19999999999999998,8736.0
70,70,12288.139919999989,9667.33991999999,-0.3,8736.0
71,71,13162.277599999989,9664.677599999988,-0.4,8744.0
72,72,14027.617919999988,9699.617919999988,-0.5,8656.0
73,73,14888.159679999988,9723.359679999987,-0.6,8608.0
74,74,15749.501199999988,9718.301199999987,-0.7,8616.0
75,75,16612.44223999999,9706.84223999999,-0.7999999999999999,8632.0
76,76,17474.58351999999,9712.98351999999,-0.8999999999999999,8624.0
77,77,18346.321919999988,9626.32191999999,-0.9999999999999999,8720.0
78,78,18346.321919999988,9602.32191999999,-0.9999999999999999,8744.0
79,79,17467.658399999986,9562.058399999987,-0.8999999999999999,8784.0
80,80,16585.793919999986,9532.993919999986,-0.7999999999999999,8816.0
81,81,15703.129199999985,9526.329199999986,-0.7,8824.0
82,82,14819.664239999986,9520.464239999987,-0.6,8832.0
83,83,13925.796159999985,9457.796159999985,-0.5,8936.0
84,84,13032.728319999986,9461.528319999985,-0.4,8928.0
85,85,12138.860239999985,9458.060239999984,-0.30000000000000004,8936.0
86,86,11242.591439999986,9450.591439999986,-0.20000000000000004,8960.0
87,87,12131.924559999985,9463.124559999986,-0.30000000000000004,8896.0
88,88,13021.257679999984,9462.857679999985,-0.4,8896.0
89,89,13908.991279999984,9468.991279999984,-0.5,8880.0
90,90,14807.121759999984,9416.721759999984,-0.6,8984.0
91,91,13914.854159999984,9454.854159999984,-0.5,8920.0
92,92,13021.786319999985,9450.586319999984,-0.4,8928.0
93,93,12125.517519999985,9437.517519999985,-0.30000000000000004,8960.0
94,94,11234.050159999984,9451.650159999985,-0.20000000000000004,8912.0
95,95,10340.982319999985,9448.182319999984,-0.10000000000000003,8928.0
96,96,9446.313999999984,9446.313999999984,-2.7755575615628914e-17,8944.0
97,97,9446.313999999984,9446.313999999984,-2.7755575615628914e-17,8928.0
98,98,10338.846159999985,9446.046159999984,-0.10000000000000003,8928.0
99,99,9444.177839999984,9444.177839999984,-2.7755575615628914e-17,8944.0
100,100,8551.109999999984,9443.909999999983,0.09999999999999998,8928.0
101,101,7657.241919999984,9444.441919999983,0.19999999999999998,8936.0
102,102,8543.375999999984,9429.775999999983,0.09999999999999998,8864.0
103,103,9428.710319999984,9428.710319999984,-2.7755575615628914e-17,8856.0
104,104,10314.044639999984,9428.444639999983,-0.10000000000000003,8856.0
105,105,11206.576799999984,9420.976799999984,-0.20000000000000004,8928.0
106,106,12099.108959999985,9420.708959999985,-0.30000000000000004,8928.0
107,107,11204.440639999984,9415.640639999983,-0.20000000000000004,8944.0
108,108,10308.171839999985,9412.171839999985,-0.10000000000000003,8960.0
109,109,9416.704479999984,9416.704479999984,-2.7755575615628914e-17,8912.0
110,110,8524.436879999985,9416.436879999985,0.09999999999999998,8920.0
111,111,7631.369039999985,9416.969039999985,0.19999999999999998,8928.0
112,112,6734.299999999985,9424.699999999984,0.3,8968.0
113,113,5833.229759999985,9436.429759999985,0.4,9008.0
114,114,4935.360479999985,9423.360479999985,0.5,8976.0
115,115,4038.2914399999845,9419.091439999986,0.6,8968.0
116,116,3140.4221599999846,9423.622159999984,0.7,8976.0
117,117,2244.9535999999844,9406.553599999985,0.7999999999999999,8952.0
